date,real_close,0
108/08/29,365.5,390.75693
108/08/30,367.5,381.13495
108/09/02,370.5,386.2979
108/09/03,364.0,382.96655
108/09/04,365.0,383.5089
108/09/05,367.5,385.4352
108/09/06,374.5,384.55884
108/09/09,382.5,398.44138
108/09/10,378.0,411.34842
108/09/11,374.5,400.41687
108/09/12,375.0,396.45728
108/09/16,382.0,398.39905
108/09/17,383.0,401.46442
108/09/18,382.0,403.06927
108/09/19,380.5,401.4907
108/09/20,386.5,403.32135
108/09/23,388.0,406.27902
108/09/24,387.0,402.56033
108/09/25,380.0,402.29883
108/09/26,376.0,406.026
108/09/27,369.0,402.83698
108/10/01,376.5,399.26562
108/10/02,372.0,395.45398
108/10/03,379.5,390.09866
108/10/04,385.5,395.68036
108/10/07,384.0,398.71826
108/10/08,384.5,398.5918
108/10/09,372.0,400.529
108/10/14,370.5,401.4024
108/10/15,367.0,404.82312
108/10/16,360.0,395.89752
108/10/17,371.0,392.72852
108/10/18,370.0,387.86096
108/10/21,369.0,385.41705
108/10/22,371.5,385.12698
108/10/23,372.0,386.85034
108/10/24,381.5,387.2204
108/10/25,379.0,401.66693
108/10/28,387.0,400.1914
108/10/29,393.0,401.6414
108/10/30,396.5,413.22784
108/10/31,408.0,414.69006
108/11/01,405.0,436.878
108/11/04,412.0,425.89673
108/11/05,425.0,424.90146
108/11/06,434.0,435.10815
108/11/07,425.0,447.76865
108/11/08,414.0,449.27362
108/11/11,403.5,447.1897
108/11/12,410.0,434.9311
108/11/13,408.0,427.55457
108/11/14,410.5,425.1981
108/11/15,422.0,425.03143
108/11/18,419.5,435.49655
108/11/19,421.0,432.02417
108/11/20,414.5,433.79932
108/11/21,407.0,436.02936
108/11/22,411.0,437.40472
108/11/25,418.5,430.58527
108/11/26,420.0,434.65036
108/11/27,422.5,440.71585
108/11/28,431.5,437.4607
108/11/29,421.5,444.63397
108/12/02,416.5,448.12885
108/12/03,418.0,439.9978
108/12/04,424.5,438.8157
