date,dividend,PE,netWorth,volume,price,open,high,low,close,diff,times,result
108/08/28,4.49,52.60,0.76,18889599,247874921,13.10,13.20,13.05,13.15,+0.10,2438,1
108/08/29,4.47,52.80,0.77,10676162,140542941,13.15,13.20,13.10,13.20,+0.05,2299,1
108/08/30,4.39,53.80,0.78,32774513,438011240,13.30,13.45,13.20,13.45,+0.25,4268,1
108/09/02,4.42,53.40,0.78,8528668,114219686,13.35,13.45,13.30,13.35,-0.10,2254,0
108/09/03,4.47,52.80,0.77,13374418,177788068,13.45,13.45,13.20,13.20,-0.15,2571,0
108/09/04,4.34,54.40,0.79,40434250,545392445,13.20,13.60,13.20,13.60,+0.40,6346,1
108/09/05,4.34,54.40,0.79,27277402,370090683,13.65,13.70,13.50,13.60,0.00,3853,0
108/09/06,4.35,54.20,0.79,16088617,218514189,13.65,13.65,13.55,13.55,-0.05,3010,0
108/09/09,4.34,54.40,0.79,13483882,183354191,13.60,13.65,13.55,13.60,+0.05,2263,1
108/09/10,4.34,54.40,0.79,21363294,290541206,13.60,13.65,13.55,13.60,0.00,3550,0
108/09/11,4.31,54.80,0.80,20063333,273325053,13.60,13.70,13.55,13.70,+0.10,4887,1
108/09/12,4.31,54.80,0.80,25967952,356728582,13.80,13.85,13.65,13.70,0.00,3236,0
108/09/16,4.34,54.40,0.79,23641597,323859395,13.80,13.85,13.55,13.60,-0.10,2974,0
108/09/17,4.35,54.20,0.79,22155960,298570386,13.55,13.60,13.35,13.55,-0.05,4585,0
108/09/18,4.35,54.20,0.79,18441204,250958416,13.60,13.65,13.50,13.55,0.00,4205,0
108/09/19,4.34,54.40,0.79,23352200,318460235,13.60,13.70,13.60,13.60,+0.05,2730,1
108/09/20,4.28,55.20,0.80,43362603,595211939,13.60,13.80,13.55,13.80,+0.20,4154,1
108/09/23,4.31,54.80,0.80,26236711,360239630,13.70,13.80,13.65,13.70,-0.10,4047,0
108/09/24,4.32,54.60,0.79,33743098,462396722,13.70,13.80,13.65,13.65,-0.05,3826,0
108/09/25,4.34,54.40,0.79,28777541,391162181,13.65,13.70,13.50,13.60,-0.05,4072,0
108/09/26,4.34,54.40,0.79,50905225,701914142,13.80,14.00,13.60,13.60,0.00,7910,0
108/09/27,4.40,53.60,0.78,21617074,291739595,13.60,13.65,13.40,13.40,-0.20,3523,0
108/10/01,4.32,54.60,0.79,26138304,354039187,13.40,13.65,13.40,13.65,+0.25,4595,1
108/10/02,4.37,54.00,0.78,8772321,118605167,13.50,13.60,13.45,13.50,-0.15,2374,0
108/10/03,4.40,53.60,0.78,20721917,276374888,13.30,13.45,13.20,13.40,-0.10,4148,0
108/10/04,4.39,53.80,0.78,11753078,158097544,13.35,13.55,13.35,13.45,+0.05,2387,1
108/10/07,4.42,53.40,0.78,15828996,211771379,13.45,13.45,13.30,13.35,-0.10,3986,0
108/10/08,4.42,53.40,0.78,23503479,314161982,13.35,13.50,13.30,13.35,0.00,4617,0
108/10/09,4.49,52.60,0.76,38292987,506198878,13.35,13.35,13.15,13.15,-0.20,6433,0
108/10/14,4.37,54.00,0.78,45103746,608967441,13.45,13.65,13.35,13.50,+0.35,7132,1
108/10/15,4.31,54.80,0.80,48290101,661360125,13.50,13.80,13.50,13.70,+0.20,10244,1
108/10/16,4.29,55.00,0.80,31033160,425517758,13.80,13.80,13.60,13.75,+0.05,5936,1
108/10/17,4.28,55.20,0.80,17379780,238787362,13.75,13.80,13.65,13.80,+0.05,4567,1
108/10/18,4.23,55.80,0.81,46084099,640935450,13.70,14.00,13.70,13.95,+0.15,6902,1
108/10/21,4.24,55.60,0.81,12903818,179801802,13.95,14.00,13.90,13.90,-0.05,2780,0
108/10/22,4.21,56.00,0.81,23631388,331189613,14.10,14.15,13.90,14.00,+0.10,5574,1
108/10/23,4.20,56.20,0.82,26012736,364861015,14.05,14.05,13.95,14.05,+0.05,4178,1
108/10/24,4.05,58.20,0.84,119513828,1736922687,14.10,14.80,14.05,14.55,+0.50,18458,1
108/10/25,4.10,57.60,0.84,43635327,629050701,14.40,14.55,14.30,14.40,-0.15,5851,0
108/10/28,4.14,57.00,0.83,23325010,332914785,14.45,14.50,14.15,14.25,-0.15,4285,0
108/10/29,4.07,58.00,0.84,63793543,924415506,14.30,14.65,14.30,14.50,+0.25,9471,1
