,volume,price,open,high,low,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2746,104413957,2863591348,27.2,27.95,26.95,30.095,36463,22.52129958,40.38657405,76.11712301,39.90700877964692,26.86130227008536,0.8840448904901809,-100.0,-100.0,0
2747,73778296,2032441041,28.1,28.1,27.0,29.759999999999998,24235,15.94877916,32.24064242,64.82436895,38.49141701178349,25.06017597371395,0.7712281805175105,-100.0,-100.0,0
2748,95121309,2531118444,27.0,27.3,26.2,29.325,31667,12.54508774,25.67545753,51.9361971,35.921730074087314,21.838624565348905,0.637344066618518,-100.0,-100.0,0
2749,60169160,1624661777,27.1,27.3,26.8,28.840000000000003,20105,12.30278577,21.21790028,39.04812929,38.389596343402594,27.90495648821904,0.5006074273025891,-82.35294117647054,-93.87755102040816,0
2750,75809751,2103671890,27.05,28.2,27.05,28.590000000000003,26051,20.54753619,20.99444558,21.88826436,48.25441955079665,49.196991353767615,0.3896483168466181,0.0,-66.32653061224491,0
2751,89149787,2532333608,28.65,28.85,28.05,28.265000000000004,28439,26.04403647,22.67764255,15.94485469,48.25441955079665,49.19699135376762,0.2997746346758416,0.0,-58.75000000000004,0
2752,42601414,1189773586,28.2,28.2,27.7,28.0,14798,30.38951091,25.24826533,14.96577419,46.26265208314117,44.949016543626335,0.2223586455732826,-18.18181818181824,-60.29411764705886,0
2753,39996982,1128180894,28.2,28.45,28.0,27.825,13187,42.48189616,30.99280894,8.014634505,48.596573829939054,50.11760476638586,0.1610886956674085,0.0,-45.90163934426235,0
2754,35269809,995915301,28.4,28.5,28.05,27.68,12187,52.84956599,38.27839463,9.136051889,48.21267856383792,49.19386885743515,0.1119857678270748,-16.666666666666863,-5.882352941176556,0
2755,45302108,1289238844,28.3,28.75,28.2,27.684999999999995,15781,61.64813833,46.0683092,14.90865092,49.5284123039942,52.35523781120845,0.0752208744950588,0.0,0.0,1
2756,108651591,3026793017,28.0,28.2,27.45,27.765000000000004,24781,66.25599159,52.79753666,25.8806268,48.62250590637133,49.872612576839536,0.0463496134409435,-25.00000000000022,-5.714285714285795,0
2757,52276840,1469638226,28.1,28.4,27.7,27.889999999999997,17708,69.3739131,58.32299547,36.22116023,50.12763189621051,53.81470879407646,0.0262269296340668,0.0,0.0,1
2758,96190949,2774456621,28.7,29.2,28.4,28.075,28811,67.17950796,61.2751663,49.46648299,50.65765059524645,55.223234759219565,0.0133804932138914,0.0,0.0,1
2759,59148548,1663233014,28.2,28.65,27.9,28.189999999999998,17399,55.26252911,59.2709539,67.28780349,46.32522228223243,42.716853605033904,-0.0006441641161581,-100.0,-79.99999999999972,1
2760,38405661,1071993153,28.0,28.25,27.6,28.165,13015,46.3654956,54.96913447,72.17641221,45.78679227176919,41.31341889393041,-0.0154683643920952,-100.0,-89.99999999999986,0
2761,116884173,3372998145,28.2,29.15,28.15,28.255000000000003,37728,62.33890183,57.42572359,47.59936711,58.10602887801578,69.22215764230454,-0.0116337597435431,0.0,0.0,1
2762,111468923,3299559333,29.35,29.85,29.2,28.445,33353,74.19815677,63.01653465,40.6532904,63.63843599861065,77.15696858261026,0.0148894128983104,0.0,0.0,1
2763,74671525,2213179181,30.05,30.3,29.25,28.585,24905,74.61163668,66.88156866,51.42143262,61.10245551524446,70.89080773078358,0.0510181326957124,-10.810810810810764,-10.810810810810764,1
