data,volume,price,open,high,low,close,diff,times,result
105/08/01,35252603,3128322065,87.80,89.00,87.80,88.80,+0.90,13651,1
105/08/02,17857759,1583878744,88.80,89.00,88.50,88.50,-0.30,8373,0
105/08/03,28265281,2479145408,87.50,88.30,87.40,87.50,-1.00,11605,0
105/08/04,16706468,1468395434,88.00,88.00,87.50,88.00,+0.50,6655,1
105/08/05,21977674,1942409709,88.00,88.80,87.80,88.40,+0.40,9045,1
105/08/08,38003972,3398142135,89.20,90.00,89.00,90.00,+1.60,15429,1
105/08/09,27157080,2440513140,90.00,90.10,89.20,89.90,-0.10,9809,0
105/08/10,21467637,1929664637,89.90,90.00,89.60,90.00,+0.10,9229,1
105/08/11,32700410,2915685044,89.40,89.70,88.40,89.50,-0.50,12261,0
105/08/12,120062589,10419755060,86.50,87.80,86.00,86.20,-3.30,50090,0
105/08/15,42295410,3663700908,85.80,87.20,85.50,87.20,+1.00,21857,1
105/08/16,35385178,3060588710,87.00,87.20,86.10,86.20,-1.00,15154,0
105/08/17,71503379,6092327884,86.00,86.10,84.80,85.00,-1.20,30115,0
105/08/18,41301784,3521344024,84.90,86.00,84.50,85.70,+0.70,17091,1
105/08/19,37607364,3228421209,86.00,86.70,85.20,85.30,-0.40,15901,0
105/08/22,25392740,2165468489,85.20,85.60,85.00,85.40,+0.10,10857,1
105/08/23,32195237,2757636782,85.20,85.90,85.20,85.80,+0.40,12372,1
105/08/24,43804037,3795051619,86.20,87.10,86.10,86.70,+0.90,19155,1
105/08/25,57438373,5048818953,86.90,88.50,86.90,88.50,+1.80,23994,1
105/08/26,38907883,3443302053,88.90,89.00,88.10,88.50,0.00,15528,0
105/08/29,63998105,5701970107,89.00,89.70,88.40,89.30,+0.80,23805,1
105/08/30,45965196,4092761544,89.30,89.50,88.70,89.00,-0.30,18053,0
105/08/31,68836583,6074873604,88.70,88.90,88.00,88.00,-1.00,25682,0
105/09/01,103889999,9071572991,87.20,87.80,86.80,87.40,-0.60,37318,0
105/09/02,158664535,12233653270,76.60,77.90,76.30,77.20,X0.00,68979,0
105/09/05,44625629,3483109591,77.90,78.40,77.60,78.20,+1.00,20575,1
105/09/06,51022095,4058307905,78.80,79.90,78.60,79.80,+1.60,23722,1
105/09/07,59399913,4754313420,80.40,80.80,79.50,79.50,-0.30,29494,0
105/09/08,50257398,3960139262,79.60,79.70,78.50,78.50,-1.00,21185,0
105/09/09,36760350,2856282829,77.80,77.90,77.50,77.70,-0.80,18781,0
105/09/10,23404331,1811772316,76.80,78.30,76.70,78.00,+0.30,12853,1
105/09/12,31237702,2426634856,78.00,78.20,77.50,77.50,-0.50,14641,0
105/09/13,37723869,2925547673,78.30,78.50,76.80,77.20,-0.30,16394,0
105/09/14,43959603,3411367947,77.20,78.20,77.20,77.40,+0.20,14616,1
105/09/19,76667029,6125553679,79.90,80.50,79.20,80.40,+3.00,31744,1
105/09/20,41417392,3325929443,80.50,80.70,80.00,80.20,-0.20,18417,0
105/09/21,29174757,2326573473,79.90,80.10,79.30,80.00,-0.20,15644,0
105/09/22,31624566,2527103680,80.30,80.80,79.30,79.60,-0.40,16863,0
105/09/23,30788582,2454548205,79.90,80.00,79.40,79.80,+0.20,12143,1
105/09/26,32605029,2574486308,79.10,79.40,78.60,78.90,-0.90,13903,0
105/09/29,49890235,3980268990,79.80,80.00,79.30,79.80,+0.90,16087,1
105/09/30,33180637,2625777041,79.20,79.50,79.00,79.00,-0.80,12634,0
105/10/03,23921302,1900379841,79.80,79.80,79.20,79.20,+0.20,9019,1
105/10/04,19839984,1570944601,79.00,79.50,78.90,79.50,+0.30,8624,1
105/10/05,14224693,1131510290,79.10,79.80,79.10,79.60,+0.10,6729,1
105/10/06,24815554,1988141329,80.20,80.30,80.00,80.20,+0.60,12328,1
105/10/07,15318995,1228163082,80.50,80.50,80.00,80.00,-0.20,7541,0
105/10/11,51744756,4199103543,81.00,81.90,80.50,81.10,+1.10,22212,1
105/10/12,38592633,3142515068,81.50,81.70,80.90,81.60,+0.50,17857,1
105/10/13,34881026,2857168832,82.10,82.40,81.60,81.80,+0.20,16735,1
105/10/14,22420059,1820447522,81.60,81.70,80.70,81.20,-0.60,10756,0
105/10/17,29655889,2410790322,80.80,82.00,80.40,81.90,+0.70,12836,1
105/10/18,32868087,2694088835,81.90,82.20,81.60,82.10,+0.20,13865,1
105/10/19,38455388,3168757404,82.20,82.50,82.20,82.40,+0.30,17142,1
105/10/20,40042546,3332081435,82.80,83.50,82.70,83.50,+1.10,19648,1
105/10/21,65473533,5528330463,84.00,85.00,83.90,84.30,+0.80,21452,1
105/10/24,31339246,2648240473,84.90,85.00,84.10,84.20,-0.10,12936,0
105/10/25,49322603,4202923535,84.60,85.90,84.50,85.70,+1.50,22538,1
105/10/26,36417398,3116188534,85.20,85.90,85.00,85.60,-0.10,15532,0
105/10/27,36899987,3157529739,85.90,86.40,85.00,85.40,-0.20,14334,0
105/10/28,30165885,2559426125,85.90,85.90,84.60,84.80,-0.60,11413,0
105/10/31,31249715,2638377555,84.70,85.30,83.60,85.30,+0.50,13187,1
105/11/01,23258245,1974411594,85.30,85.40,84.40,84.60,-0.70,10155,0
105/11/02,51613717,4303489411,84.00,84.40,82.60,82.60,-2.00,22829,0
105/11/03,43612683,3578842816,82.10,83.00,81.60,81.70,-0.90,19671,0
105/11/04,25604798,2099932861,81.60,82.50,81.60,82.00,+0.30,12048,1
105/11/07,30230200,2514764931,82.50,83.60,82.30,83.50,+1.50,12691,1
