data,volume,price,open,high,low,close,diff,times,result
101/02/20,40498979,4053283434,101.50,102.00,99.50,99.70,-1.80,15498,0
101/02/21,60421144,5834776941,97.50,98.10,95.30,96.80,-2.90,28238,0
101/02/22,59936897,5822061145,95.50,98.60,95.50,97.60,+0.80,21799,1
101/02/23,29293189,2864610301,97.60,98.70,96.80,97.10,-0.50,10499,0
101/02/24,43140671,4262908482,99.50,99.50,98.20,99.00,+1.90,13696,1
101/02/29,65358160,6607536086,100.50,102.50,100.00,102.50,+3.50,19353,1
101/03/01,33931576,3484432752,102.50,104.00,102.00,102.50,0.00,12509,0
101/03/02,20620037,2112639964,104.00,104.00,101.50,102.50,0.00,8495,0
101/03/03,11832921,1196337021,102.00,102.00,100.50,101.00,-1.50,5217,0
101/03/05,20159344,2017579409,101.50,101.50,99.30,100.50,-0.50,7927,0
101/03/06,26836976,2663906398,100.50,100.50,98.00,99.80,-0.70,10448,0
101/03/07,17343054,1714350628,98.30,99.40,98.20,98.80,-1.00,7046,0
101/03/08,26193183,2632990038,99.50,101.50,99.40,101.00,+2.20,10207,1
101/03/09,26601202,2702747297,102.00,102.00,101.00,101.50,+0.50,8043,1
101/03/12,20003521,2020024310,101.00,102.00,100.00,100.50,-1.00,6925,0
101/03/13,34627444,3539615788,102.00,103.00,101.00,102.50,+2.00,14263,1
101/03/14,39369355,4081636065,104.00,104.50,103.00,103.50,+1.00,17070,1
101/03/15,22681897,2345519391,104.00,104.00,102.50,104.00,+0.50,8309,1
101/03/16,62527042,6573381078,104.50,106.00,104.50,104.50,+0.50,24159,1
101/03/19,22320835,2296238507,104.50,105.00,101.50,104.00,-0.50,8803,0
101/03/20,18463313,1895475206,104.00,104.00,102.00,102.00,-2.00,6795,0
101/03/21,24835286,2543950723,103.00,103.50,101.50,102.50,+0.50,8349,1
101/03/22,47042278,4909659267,103.50,105.00,103.50,105.00,+2.50,14595,1
101/03/23,36639275,3857716813,105.00,106.00,104.00,106.00,+1.00,13478,1
101/03/26,39502872,4186102875,106.50,106.50,105.00,106.00,0.00,12001,0
101/03/27,40287936,4324623902,107.00,108.00,106.00,108.00,+2.00,16172,1
101/03/28,101348509,11444005508,112.00,115.50,111.00,113.00,+5.00,35538,1
101/03/29,121046734,13892370510,113.00,117.00,112.00,116.00,+3.00,44018,1
101/03/30,65210259,7430989026,114.50,115.00,112.50,114.50,-1.50,24647,0
101/04/02,36093439,4088395882,114.00,115.50,111.00,111.00,-3.50,13783,0
101/04/03,56835141,6278625307,111.50,112.50,109.00,110.00,-1.00,19537,0
101/04/05,54016626,5922438486,108.00,112.00,107.50,111.00,+1.00,20931,1
101/04/06,23632242,2620826862,111.00,112.00,110.00,111.00,0.00,10021,0
101/04/09,21338090,2326886810,108.50,110.50,108.00,109.50,-1.50,7967,0
101/04/10,19426906,2139010160,110.50,111.50,108.50,110.00,+0.50,7745,1
101/04/11,46596619,5246781247,110.00,114.00,110.00,113.50,+3.50,16909,1
101/04/12,30431581,3446325827,113.50,114.00,112.00,114.00,+0.50,10883,1
101/04/13,31394716,3570341009,115.00,115.50,113.00,114.50,+0.50,10735,1
101/04/16,19315958,2198089712,114.00,114.50,112.50,114.50,0.00,6567,0
101/04/17,52663743,5861033969,114.50,115.00,108.50,110.00,-4.50,17783,0
101/04/18,32839068,3607357844,112.50,113.00,108.00,108.00,-2.00,14722,0
101/04/19,42571974,4522515175,108.00,108.00,105.00,105.50,-2.50,15818,0
101/04/20,49964156,5226746568,105.50,106.50,103.00,103.00,-2.50,15228,0
101/04/23,50776048,5087886400,101.00,101.50,99.50,99.90,-3.10,17379,0
101/04/24,39841625,4082464604,100.00,104.00,100.00,103.50,+3.60,15051,1
101/04/25,46055080,4861661480,106.50,106.50,104.00,106.00,+2.50,15225,1
101/04/26,31249413,3295725452,107.00,107.00,104.00,104.00,-2.00,11383,0
101/04/27,67189682,6745303317,103.50,104.00,98.50,99.30,-4.70,26787,0
101/04/30,25028092,2312595506,92.40,92.40,92.40,92.40,-6.90,8505,0
101/05/02,314992995,27681900248,86.00,91.00,86.00,89.60,-2.80,98890,0
101/05/03,86642714,7761808044,88.50,90.60,87.70,90.00,+0.40,34978,1
101/05/04,49326935,4437345247,90.30,90.40,89.30,90.00,0.00,20279,0
101/05/07,50112988,4433128099,89.00,89.00,88.10,88.50,-1.50,20212,0
101/05/08,27939762,2483437418,89.50,89.50,88.50,88.50,0.00,11460,0
101/05/09,48066380,4200271432,88.00,88.00,86.70,87.30,-1.20,20887,0
101/05/10,24850574,2185294412,87.30,88.70,87.30,87.70,+0.40,11096,1
101/05/11,39586844,3429231444,87.00,87.40,86.10,86.40,-1.30,17364,0
101/05/14,31223494,2713027404,86.40,87.90,86.30,86.90,+0.50,11521,1
101/05/15,59836229,5084716656,85.50,85.60,84.10,85.40,-1.50,25803,0
101/05/16,58824903,4938345772,85.30,85.80,82.80,82.80,-2.60,24521,0
101/05/17,44580973,3775500290,84.00,86.40,83.30,85.70,+2.90,18001,1
101/05/18,36291970,3043001393,83.90,84.60,83.10,83.20,-2.50,17234,0
101/05/21,22694138,1893446093,83.20,84.10,83.00,83.20,0.00,10774,0
101/05/22,42233316,3636674559,85.00,87.30,84.70,87.20,+4.00,18364,1
101/05/23,33935672,2937058742,86.90,87.30,85.40,87.00,-0.20,14364,0
101/05/24,31909070,2753598519,88.00,88.00,84.80,85.30,-1.70,14024,0
101/05/25,26290515,2231157852,85.30,86.10,84.00,84.10,-1.20,11956,0
101/05/28,16570968,1406226077,83.80,85.60,83.80,85.40,+1.30,7225,1
101/05/29,56444880,5021391083,86.30,89.90,86.10,89.50,+4.10,23797,1
101/05/30,50264903,4451907107,89.50,89.50,87.80,88.90,-0.60,16812,0
101/05/31,42470698,3715456324,87.50,88.00,86.90,87.50,-1.40,14629,0
101/06/01,36539870,3146215051,87.10,87.50,85.30,85.30,-2.20,15861,0
101/06/04,45093762,3705385192,83.00,83.70,80.90,82.00,-3.30,21148,0
101/06/05,28335561,2335503838,83.30,84.00,81.50,82.20,+0.20,12882,1
101/06/06,24954772,2064016076,83.40,83.50,81.70,82.80,+0.60,10463,1
101/06/07,27580589,2324375796,85.00,85.00,83.50,83.90,+1.10,10805,1
101/06/08,31650945,2595841408,82.60,83.30,81.20,81.70,-2.20,15759,0
101/06/11,24849688,2075712991,83.00,84.20,83.00,83.80,+2.10,10546,1
101/06/12,23659000,1948297700,82.00,82.80,81.90,82.50,-1.30,9384,0
101/06/13,20105474,1654685258,83.10,83.10,82.00,82.00,-0.50,8595,0
101/06/14,14463204,1189873456,82.20,82.70,81.60,82.10,+0.10,6268,1
101/06/15,31402827,2631143033,82.60,84.50,82.30,84.50,+2.40,13041,1
101/06/18,30829970,2675176853,86.60,87.30,86.40,86.50,+2.00,14013,1
101/06/19,24647136,2125569907,86.90,86.90,85.50,86.30,-0.20,9803,0
101/06/20,25342265,2194433015,86.60,87.10,86.00,87.00,+0.70,9140,1
101/06/21,20145109,1738990208,87.00,87.00,85.90,86.10,-0.90,6336,0
101/06/22,20071769,1721861711,85.20,86.70,84.90,86.60,+0.50,8349,1
101/06/25,22522334,1940871042,86.20,86.80,85.00,86.50,-0.10,7611,0
101/06/26,25077396,2151933206,86.20,86.20,85.50,86.00,-0.50,7936,0
101/06/27,18155646,1571475743,85.90,86.90,85.90,86.50,+0.50,7257,1
101/06/28,30590292,2689575596,87.90,88.40,87.50,87.90,+1.40,12956,1
101/06/29,34617647,3083530961,88.40,89.80,88.10,89.40,+1.50,14628,1
101/07/02,23144828,2067584192,89.80,90.00,88.80,89.00,-0.40,9982,0
101/07/03,34454544,3100353569,89.00,90.60,89.00,90.50,+1.50,13630,1
101/07/04,37675667,3428055140,90.70,92.00,90.10,92.00,+1.50,15761,1
101/07/05,17616369,1611199232,91.50,92.20,90.80,91.40,-0.60,8336,0
101/07/06,22171831,2015689382,91.30,91.80,89.90,91.40,0.00,8594,0
101/07/09,17953357,1638800122,90.80,91.90,90.50,91.90,+0.50,7357,1
101/07/10,37580356,3405659309,92.00,92.50,89.40,90.10,-1.80,13652,0
101/07/11,20515196,1831312748,88.30,90.00,88.20,89.90,-0.20,8458,0
101/07/12,36874189,3259753805,89.20,90.00,87.10,87.10,-2.80,16586,0
101/07/13,25431304,2211374973,86.90,87.40,86.50,87.00,-0.10,10507,0
101/07/16,11685017,1025725332,88.00,88.20,87.20,87.50,+0.50,5482,1
101/07/17,18398789,1623129592,87.50,88.80,87.10,88.50,+1.00,8519,1
101/07/18,25496573,2227976923,88.00,88.00,87.00,87.00,-1.50,8962,0
101/07/19,16462637,1451289289,88.50,88.50,87.70,88.30,+1.30,7083,1
101/07/20,17997772,1601255112,88.00,89.60,87.90,89.60,+1.30,7848,1
101/07/23,27095899,2361655913,88.40,88.40,86.30,86.60,-3.00,12673,0
101/07/24,26416449,2258269514,86.30,86.30,85.00,85.60,-1.00,12071,0
101/07/25,66421250,5458444806,81.10,83.00,81.00,81.90,-3.70,28249,0
101/07/26,66987728,5415886968,81.90,82.30,80.20,80.50,-1.40,28029,0
101/07/27,37455949,3103078667,82.90,83.50,81.70,83.50,+3.00,17812,1
101/07/30,29193135,2422763905,83.50,83.50,82.50,82.80,-0.70,10751,0
101/07/31,29937283,2518125725,82.00,85.20,82.00,84.60,+1.80,11619,1
101/08/01,27796767,2349777695,85.00,85.20,83.60,84.80,+0.20,8196,1
101/08/03,59067378,4781628823,82.00,83.10,79.00,81.60,-3.20,27492,0
101/08/06,69231360,6020170586,87.30,87.30,86.00,87.30,+5.70,28870,1
101/08/07,32477399,2803430209,87.00,87.30,85.00,87.30,0.00,12502,0
101/08/08,27285830,2389368742,87.80,88.10,87.00,87.30,0.00,11893,0
101/08/09,77166257,6961021587,88.00,91.50,87.90,91.00,+3.70,30377,1
101/08/10,74735692,6311956120,83.40,86.00,83.40,84.40,X0.00,29550,0
101/08/13,31984536,2725835660,86.50,86.50,84.50,84.90,+0.50,13237,1
101/08/14,40206424,3435633772,85.00,86.30,84.90,85.00,+0.10,14055,1
101/08/15,30822128,2606487614,85.30,85.40,83.80,84.50,-0.50,13037,0
101/08/16,22476280,1903207926,85.00,85.30,84.00,84.10,-0.40,9230,0
101/08/17,25349172,2148945314,84.30,85.60,84.20,84.50,+0.40,8577,1
101/08/20,18526706,1573171110,85.40,85.50,84.60,84.80,+0.30,7094,1
101/08/21,51487597,4444534689,85.50,87.30,85.50,85.90,+1.10,17635,1
101/08/22,19916800,1709387098,85.70,86.30,85.30,86.10,+0.20,8011,1
101/08/23,28541892,2472188311,86.00,87.10,85.90,87.10,+1.00,10695,1
101/08/24,32248971,2797389373,87.00,87.30,85.90,86.90,-0.20,11760,0
101/08/27,32248085,2825777543,88.00,88.20,87.10,87.50,+0.60,11179,1
101/08/28,52284149,4454738265,86.10,86.70,83.90,84.20,-3.30,22293,0
101/08/29,34919917,2937863023,83.50,84.80,83.50,84.00,-0.20,16318,0
101/08/30,56666262,4796137532,83.00,85.80,83.00,85.50,+1.50,19206,1
101/08/31,39672653,3355383305,83.10,85.50,83.10,84.80,-0.70,15282,0
101/09/03,107785798,9688022550,90.70,90.70,88.50,90.00,+5.20,39141,1
101/09/04,50380170,4562557881,90.50,91.50,89.70,89.90,-0.10,20655,0
101/09/05,37312421,3329383069,89.90,89.90,88.80,88.80,-1.10,13987,0
101/09/06,36957961,3287568762,89.60,89.90,88.20,88.40,-0.40,15476,0
101/09/07,32920288,2941283432,90.00,90.00,88.90,89.00,+0.60,12577,1
101/09/10,21835309,1943691801,89.00,89.40,88.80,88.80,-0.20,8836,0
101/09/11,47320675,4270298195,88.40,91.20,88.30,90.40,+1.60,19234,1
101/09/12,65249852,6033497697,91.00,93.20,90.80,93.00,+2.60,26912,1
101/09/13,43641161,4071721881,93.80,94.30,92.50,93.00,0.00,16218,0
101/09/14,75812378,7340594140,96.00,98.00,95.30,97.00,+4.00,31177,1
101/09/17,42797215,4165730479,98.00,98.40,96.50,97.50,+0.50,16549,1
101/09/18,34490452,3317438256,96.50,96.90,95.70,96.10,-1.40,15348,0
