X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J
140,1999/7/29,1414670,68073993,48.25,48.75,47.65,47.8,-0.45,809,0,44.65,48.75,76.82926829,73.58673045,62.03089736,38.91923118
141,1999/7/30,839000,39904650,47.85,48,47.15,47.3,-0.5,369,1,44.95,48.75,61.84210526,69.67185539,64.57788337,54.38993933
142,1999/8/2,2371404,113320899,48.3,48.5,47.4,48,0.7,1521,1,45.2,48.75,78.87323944,72.7389834,67.29825005,56.41678333
143,1999/8/3,1913560,91934740,48.4,48.4,47.5,48.2,0.2,708,1,45.4,48.75,83.58208955,76.35335212,70.3166174,58.24314797
144,1999/8/4,4787238,238927786,49.2,50.5,49.2,50,1.8,2364,0,46.05,50.5,88.76404494,80.49024973,73.70782818,60.14298508
145,1999/8/5,2877594,143399594,50.6,50.9,48.7,48.95,-1.05,1302,1,47,50.9,50,70.32683315,72.58082984,77.0888232
146,1999/8/6,1442852,71282053,49.6,49.9,49,49.6,0.65,757,1,47.05,50.9,66.23376623,68.96247751,71.37471239,76.19918216
147,1999/8/9,1160971,57916256,50,50.4,49.65,49.75,0.15,609,0,47.15,50.9,69.33333333,69.08609612,70.6118403,73.66332867
148,1999/8/10,1352429,66558484,50,50,48.9,49.05,-0.7,656,0,47.15,50.9,50.66666667,62.9462863,68.05665564,78.2773943
149,1999/8/11,1081789,52399377,48.7,48.85,48,48.5,-0.55,576,1,47.15,50.9,36,53.96419087,63.35916738,82.1491204
150,1999/8/12,1316733,64389683,48,49.5,47.8,49.5,1,651,1,47.4,50.9,60,55.97612725,60.898154,70.74220751
151,1999/8/13,2080192,103811354,49.5,50.3,49.25,49.7,0.2,868,1,47.5,50.9,64.70588235,58.88604561,60.22745121,62.91026239
152,1999/8/16,1285510,63960293,49.7,50.3,49.5,49.8,0.1,646,1,47.8,50.9,64.51612903,60.76274009,60.40588083,59.69216232
153,1999/8/17,2844888,144835488,50,51.5,50,51,1.2,1315,1,47.8,51.5,86.48648649,69.33732222,63.38302796,51.47443945
154,1999/8/18,5074453,268739488,51.5,54,51.3,52.9,1.9,2279,0,47.8,54,82.25806452,73.64423632,66.80343075,53.12181961
155,1999/8/19,2402365,126650259,53.4,53.5,52,52.6,-0.3,1255,1,47.8,54,77.41935484,74.90260916,69.50315688,58.70425234
156,1999/8/20,1804599,95477866,52.6,53.4,52.1,53,0.4,990,1,47.8,54,83.87096774,77.89206202,72.2994586,61.11425175
157,1999/8/23,4041820,220949289,53.7,55.5,53.4,55.2,2.2,2267,0,47.8,55.5,96.1038961,83.96267338,76.18719686,60.63624381
