X,data,volume,price,open,high,low,close,diff,times,result,K,D,J,rsi10,rsi5,macd,WR5,WR10
765,102/01/25,3687224,66249700,17.9,18.1,17.75,18.0,0.10000000000000142,1147,-1,61.61540342,54.59031149,40.54012763,50.10410829295242,48.34203833595043,0.16916561034567226,-77.7777777777776,-29.166666666666718
766,102/01/28,3008400,54136301,17.8,18.1,17.8,18.0,0.0,896,-1,57.74360228,55.64140842,51.4370207,50.10410829295242,48.34203833595043,0.15485259594687836,-77.7777777777776,-41.17647058823539
767,102/01/29,5540913,99443982,18.0,18.1,17.85,17.95,-0.05000000000000071,1979,1,53.31054967,54.86445551,57.97226718,49.088773250832126,46.06713848925078,0.14060359334720604,-83.33333333333314,-50.00000000000022
768,102/01/30,5010754,90711178,18.0,18.25,17.95,18.2,0.25,2210,-1,57.76258867,55.83049989,51.96632234,54.194064093470686,57.94218415653337,0.13080980832292644,0.0,-18.75000000000025
769,102/01/31,12175968,216828984,18.2,18.25,17.5,17.5,-0.6999999999999993,3601,1,38.50839245,50.05646408,73.15260734,41.40563741627891,33.30371293425832,0.1128556405760679,-100.0,-100.0
770,102/02/01,9553796,169268276,17.5,17.9,17.5,17.8,0.3000000000000007,2721,1,36.19857742,45.43716852,63.91435073,47.27143715057369,45.27202115863016,0.09525699412583002,-57.142857142857,-64.70588235294115
771,102/02/04,5553313,99380682,17.95,18.0,17.75,18.0,0.1999999999999993,2289,-1,41.6762446,44.18352722,49.19809245,50.87765465801793,52.14227998951885,0.08177750489678987,-28.5714285714285,-41.17647058823539
772,102/02/05,3797831,67958631,18.0,18.0,17.8,17.9,-0.10000000000000142,1486,1,44.45082973,44.27262805,43.9162247,49.03323713996119,48.48997606739979,0.0698046116408555,-42.857142857143,-42.857142857143
773,102/02/06,3283140,59172120,18.0,18.1,17.9,18.1,0.20000000000000284,1429,1,56.30055315,48.28193642,32.24470295,52.79782025879284,55.9030259583494,0.06243544676292725,0.0,-14.285714285713997
774,102/02/18,7062188,129994965,18.4,18.6,18.2,18.6,0.5,2131,1,70.86703544,55.81030276,25.6968374,60.767006556965164,69.20052012524715,0.06617301840780414,0.0,0.0
775,102/02/19,14193144,270957856,18.7,19.3,18.7,19.3,0.6999999999999993,4081,-1,80.57802362,64.06620971,31.04258189,68.86269323302751,79.55704375388711,0.08769341712397813,0.0,0.0
776,102/02/20,6214418,119791758,19.5,19.5,19.05,19.25,-0.05000000000000071,2197,-1,82.88534908,70.33925617,45.24707035,67.76402619035021,77.32828926600325,0.11823402064245582,-3.571428571428617,-2.7777777777778163
777,102/02/21,3586296,68075846,19.1,19.2,18.7,18.9,-0.3500000000000014,1109,-1,78.59023272,73.08958169,62.08827962,60.35006116945397,62.597668806874026,0.1469738000448451,-33.333333333333535,-22.22222222222233
778,102/02/22,4580402,86108865,18.9,19.05,18.65,18.65,-0.25,1487,-1,71.56015515,72.57977284,74.61900823,55.57280734348418,53.81130168433687,0.1687546840438746,-92.85714285714326,-36.111111111111214
779,102/02/23,1351630,25269983,18.95,18.95,18.6,18.65,0.0,540,1,64.84962724,70.00305764,80.30991844,55.57280734348418,53.81130168433687,0.18464745122935247,-100.0,-43.33333333333347
780,102/02/25,8255462,158599573,18.8,19.45,18.65,19.4,0.75,2794,-1,74.60563385,71.53724971,65.40048143,65.4893514574232,71.24646893975401,0.20756149882458103,0.0,0.0
781,102/02/26,3794509,72540934,19.0,19.3,19.0,19.15,-0.25,1318,1,75.7787559,72.95108511,67.29574352,60.53497213623575,61.90012213305419,0.22921347808742584,-33.33333333333333,-16.666666666666664
