date,dividend,PE,netWorth,volume,price,open,high,low,close,diff,times,result
106/05/10,4.93,16.86,2.25,1800220,181462220,100.00,102.00,100.00,101.50,+1.50,1259,1
106/05/11,4.90,17.44,2.37,1463714,149405114,101.00,102.50,101.00,102.00,+0.50,1139,1
106/05/12,4.95,17.26,2.35,2113534,213890434,101.50,102.50,100.50,101.00,-1.00,1189,-1
106/05/15,4.90,17.44,2.37,1725902,175969004,101.00,103.00,100.50,102.00,+1.00,1144,1
106/05/16,4.90,17.44,2.37,2012681,206978281,102.00,103.50,102.00,102.00,0.00,1153,-1
106/05/17,4.83,17.69,2.41,2206083,227752049,102.50,104.00,102.00,103.50,+1.50,1390,1
106/05/18,4.88,17.52,2.38,2377618,243850842,102.00,103.00,101.50,102.50,-1.00,1957,-1
106/05/19,4.90,17.44,2.37,1695151,174056402,102.50,103.50,102.00,102.00,-0.50,1260,-1
106/05/22,4.85,17.61,2.40,1958732,200891024,102.00,103.50,101.50,103.00,+1.00,1164,1
106/05/23,4.88,17.52,2.38,3682598,377409996,102.50,103.00,102.00,102.50,-0.50,2123,-1
106/05/24,4.90,17.44,2.37,2519929,257351258,102.50,103.00,101.50,102.00,-0.50,1941,-1
106/05/25,4.76,17.95,2.44,3837723,404922545,102.50,107.00,102.50,105.00,+3.00,2274,1
106/05/26,4.90,17.44,2.37,3565993,366707774,104.50,105.00,101.50,102.00,-3.00,2650,-1
106/05/31,4.98,17.18,2.34,2883127,292725760,102.00,103.00,100.50,100.50,-1.50,1655,-1
106/06/01,4.90,17.44,2.37,1531237,155396053,101.00,102.00,101.00,102.00,+1.50,1019,1
106/06/02,4.81,17.78,2.42,2463686,253569494,103.00,104.00,102.00,104.00,+2.00,1586,1
106/06/03,4.78,17.86,2.43,728364,76109531,104.00,105.00,104.00,104.50,+0.50,579,1
106/06/05,4.74,18.03,2.45,1651979,173542295,105.00,105.50,104.00,105.50,+1.00,1221,1
106/06/06,4.55,18.80,2.56,5225443,569587997,106.00,111.00,106.00,110.00,+4.50,3278,1
106/06/07,4.55,18.80,2.56,4462129,491984417,110.00,111.00,109.00,110.00,0.00,2015,-1
106/06/08,4.55,18.80,2.56,2176701,240320750,110.00,112.00,109.00,110.00,0.00,1565,-1
106/06/09,4.52,18.89,2.57,2166290,240578635,110.00,112.00,110.00,110.50,+0.50,1567,1
106/06/12,4.48,19.06,2.59,1390293,153606023,109.50,111.50,108.00,111.50,+1.00,915,1
106/06/13,4.55,18.80,2.56,1749824,192954140,111.50,111.50,109.50,110.00,-1.50,1126,-1
106/06/14,4.63,18.46,2.51,2172952,235455334,110.50,110.50,107.00,108.00,-2.00,1415,-1
106/06/15,4.59,18.63,2.54,1502097,163045573,108.00,109.50,107.50,109.00,+1.00,1046,1
106/06/16,4.42,19.32,2.63,3574793,397444702,108.50,113.00,108.50,113.00,+4.00,1693,1
106/06/19,4.48,19.06,2.59,2131353,237715352,112.50,112.50,111.00,111.50,-1.50,1381,-1
106/06/20,4.50,18.97,2.58,1267268,141288248,111.50,112.50,111.00,111.00,-0.50,754,-1
106/06/21,4.44,19.23,2.62,3792201,430572102,111.50,115.50,111.50,112.50,+1.50,2637,1
106/06/22,4.50,18.97,2.58,1478894,164741783,112.00,113.00,110.50,111.00,-1.50,1137,-1
106/06/23,4.52,18.89,2.57,1003002,110935720,110.50,112.00,110.00,110.50,-0.50,655,-1
106/06/26,4.41,19.40,2.64,2328480,262690740,111.00,114.00,110.50,113.50,+3.00,1523,1
106/06/27,4.42,19.32,2.63,1560261,177089493,114.50,114.50,112.50,113.00,-0.50,1090,-1
106/06/28,4.46,19.15,2.61,1242684,139356924,112.50,113.00,111.00,112.00,-1.00,1013,-1
