X,volume,price,open,high,low,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2148,1762951,429209215,244.0,245.0,242.0,243.5,1396,31.84078192,34.87908266,40.95568415,38.64664149,38.01217154,-5.581438626,-57.14285714,-88.46153846,1
2149,3198033,783025835,243.0,246.5,243.0,244.5,2424,32.63069672,34.12962068,37.1274686,40.61848883,42.39818328,-5.502492437,-28.57142857,-80.76923077,0
2150,3748889,919652194,246.5,248.5,243.0,245.0,2533,35.89521195,34.7181511,32.36402941,41.64991729,44.74399991,-5.388291301,-14.28571429,-76.92307692,0
2151,5312721,1274677040,243.5,245.0,237.5,238.0,3910,25.1647092,31.53367047,44.271593,32.860138,26.56731132,-5.357379563,-100.0,-100.0,1
2152,5338227,1294611062,241.5,244.0,240.5,243.0,2505,33.44313947,32.17016014,29.62420147,42.40959371,45.53293553,-5.288309821,-28.57142857,-33.33333333,1
2153,2855605,693998865,241.0,244.0,241.0,243.5,1558,40.47724449,34.93918826,23.86307578,43.29674733,47.1702698,-5.178913795,-21.42857143,-26.66666667,1
2154,3087089,749582127,244.5,245.0,241.0,241.5,1835,39.10604178,36.32813943,30.77233473,40.54837943,41.22220325,-5.070081795,-50.0,-53.33333333,0
2155,2935735,706952870,241.0,242.0,239.0,241.5,1994,38.19190664,36.94939517,34.46437222,40.54837943,41.22220325,-4.955752728,-36.36363636,-53.33333333,0
2156,6198255,1519371850,244.5,246.5,243.0,246.5,3249,52.73399837,42.21092957,21.16479197,50.12528864,59.57377157,-4.752904281,0.0,0.0,1
2157,5081741,1270421189,248.5,252.0,248.5,250.0,2871,63.8916311,49.43783008,20.53022804,55.62895452,67.97324569,-4.438533966,0.0,0.0,1
2158,12269236,3011263156,250.0,251.0,243.0,245.0,4045,59.83580004,52.90382007,39.03986012,47.40806939,50.12103186,-4.14039948,-58.82352941,-41.66666667,1
2159,4459111,1085211970,245.5,246.5,241.0,246.0,2092,59.43076325,55.07946779,46.37687689,49.06408518,53.07860972,-3.842678775,-47.05882353,-33.33333333,0
2160,5522030,1342928452,248.0,248.0,242.0,242.0,2860,47.31281652,52.49058404,62.84611906,43.09358566,41.31864469,-3.615883853,-100.0,-66.66666667,1
2161,9432507,2229811886,240.0,241.0,232.5,234.5,5325,34.9606811,46.64728306,70.02048697,34.4478327,27.57325521,-3.556849591,-100.0,-100.0,1
2162,7119698,1665116439,234.5,235.5,232.5,233.5,2975,25.01652244,39.43702952,68.27804367,33.46316734,26.17978698,-3.613906771,-100.0,-100.0,1
2163,6597219,1520567020,234.0,234.5,228.5,228.5,3123,16.67768163,31.85058022,62.19637741,28.91702477,20.08851365,-3.812272041,-100.0,-100.0,1
2164,18592317,3875921696,207.5,210.5,207.0,210.5,9016,13.71104701,25.80406915,49.99011343,18.80187447,10.01851886,-4.367298397,-100.0,-100.0,1
2165,7413236,1608345392,210.0,221.0,210.0,220.0,4611,18.77032764,23.45948865,32.83781067,32.50800293,31.70172591,-4.955256705,-60.41666667,-75.94936709,1
2166,7507028,1664516555,218.5,226.5,216.0,221.0,4284,23.11961236,23.34619655,23.79936493,33.80185228,33.71923514,-5.505785929,-54.34782609,-73.41772152,1
2167,3703987,830340588,222.5,227.0,222.0,222.0,2393,27.60819686,24.76686332,19.08419625,35.16897347,35.98829748,-5.97549246,-36.11111111,-67.6056338,0
2168,3778048,850015371,225.5,226.5,224.0,224.5,2040,32.63310685,27.3889445,16.90061979,38.65304364,41.95015054,-6.316412704,0.0,-60.56338028,0
2169,2588243,583793147,225.0,227.0,224.0,225.0,1833,39.40246339,31.3934508,15.37542561,39.36987197,43.21936032,-6.536367007,0.0,-53.96825397,0
2170,3881788,857651300,221.5,222.5,218.5,222.5,2531,44.3969639,35.72795516,18.38993769,36.99249293,38.207161,-6.69396017,-62.5,-50.0,0
2171,2304109,510839198,220.5,224.0,220.0,221.5,1623,47.17373351,39.54321461,24.28217682,36.03505143,36.19246556,-6.804902812,-100.0,-52.17391304,1
2172,3750442,813843972,220.0,222.0,214.0,214.0,2876,43.11582234,40.73408385,35.97060688,29.69448092,24.54429523,-6.984938383,-100.0,-80.55555556,1
2173,5893975,1241584625,212.0,216.0,206.0,214.0,4332,41.44229426,40.97015399,40.02587345,29.69448092,24.54429523,-7.182922215,-100.0,-75.86206897,1
2174,7491358,1570280845,207.5,212.0,206.0,210.0,5052,33.97740252,38.63923683,47.96290546,26.66649892,19.67994673,-7.42922336,-100.0,-100.0,1
2175,8769095,1790204285,212.0,213.5,200.5,202.0,5995,24.53839413,33.93895593,52.74007953,21.78036482,13.3364809,-7.803599973,-100.0,-100.0,0
2176,7244609,1473119608,206.0,208.0,199.5,208.0,4067,26.66195973,31.51329053,41.21595214,32.05180322,32.82409676,-8.125113888,-50.0,-73.91304348,1
2177,5275023,1099501150,209.0,212.0,206.0,207.0,2550,26.86554891,29.96404332,36.16103215,31.29831262,31.41142885,-8.394075836,-58.33333333,-78.26086957,0
2178,10262937,2247970325,212.0,227.5,211.0,227.5,6203,51.24369927,37.05726197,8.684387374,55.1003765,66.68392646,-8.269802476,0.0,0.0,0
2179,9447080,2116661855,227.0,229.0,218.5,223.5,6223,61.28111025,45.13187806,12.8334137,51.28664333,59.51729579,-7.950540568,-15.68627451,-15.68627451,0
2180,7310536,1662872172,226.5,230.5,224.5,227.5,4944,70.96160038,53.7417855,19.30215575,54.73307311,64.14178502,-7.443861299,0.0,0.0,1
2181,4237811,962584530,225.5,230.0,224.0,230.0,2890,80.10343251,62.52900117,27.38013849,56.83273154,66.97151007,-6.789421318,0.0,0.0,0
2182,5869560,1362477300,233.5,238.0,226.5,230.0,3897,79.80921475,68.28907236,45.2487876,56.83273154,66.97151007,-6.061200147,0.0,0.0,1
